author,date,content
Sxkurablossom,"Aug 20, 2022, 2:18 pm ",is this group alive or not?
Gracie_Freeman,"Aug 20, 2022, 6:16 pm ",>59 Sxkurablossom:  sometimes but since schools in session now its been quietim on though so if yo eer wanna talk im on
Sxkurablossom,"Aug 20, 2022, 9:30 pm ","sorry I wasnt on at the time but if your still there, sure"
Gracie_Freeman,"Aug 21, 2022, 4:55 pm ",">61 Sxkurablossom:  ok,well you can pm me,one day youll meet drystol and araysh"
Sxkurablossom,"Aug 21, 2022, 8:53 pm ",mkk :)
_luh_Baddie_bae,"Aug 22, 2022, 11:28 am ",Hiiiiiiiii :)
Sxkurablossom,"Aug 22, 2022, 1:36 pm ",hii
_luh_Baddie_bae,"Aug 22, 2022, 4:05 pm ",How is everyone??? :)
Gracie_Freeman,"Aug 22, 2022, 8:56 pm ",>66 _luh_Baddie_bae:  good and you?
_luh_Baddie_bae,"Aug 22, 2022, 9:05 pm ",>67 Gracie_Freeman:  Im good :)
Sxkurablossom,"Aug 23, 2022, 8:42 am ",sorry I didnt respond my chromebook was dead
_luh_Baddie_bae,"Aug 23, 2022, 10:05 am ",>69 Sxkurablossom:  Hiiiiiiii
Sxkurablossom,"Aug 23, 2022, 12:25 pm ",hii
_luh_Baddie_bae,"Aug 23, 2022, 1:12 pm ",>71 Sxkurablossom:  How r u
Araysh,"Aug 23, 2022, 1:23 pm ",HEY!!!
Araysh,"Aug 23, 2022, 1:24 pm ","Hey Baddie, I accepted the request"
_luh_Baddie_bae,"Edited: Aug 23, 2022, 1:31 pm ",>74 Araysh:  Ok :)
Araysh,"Aug 23, 2022, 1:37 pm ","So, how is everyone?"
_luh_Baddie_bae,"Aug 23, 2022, 1:38 pm ",pretty decent-
Araysh,"Aug 23, 2022, 1:42 pm ","Ha, I wish the same. But i make due with what i must... (:("
_luh_Baddie_bae,"Aug 23, 2022, 1:46 pm ",Lol
Araysh,"Aug 23, 2022, 1:59 pm ",Right
Gracie_Freeman,"Aug 23, 2022, 4:23 pm ",>73 Araysh:  Arayshhhhhhhhhh
Gracie_Freeman,"Aug 23, 2022, 4:24 pm ",>79 _luh_Baddie_bae:  check your pm baddie
_luh_Baddie_bae,"Aug 23, 2022, 4:36 pm ",>82 Gracie_Freeman:  k
Sxkurablossom,"Aug 23, 2022, 4:44 pm ",hru
_luh_Baddie_bae,"Aug 23, 2022, 4:45 pm ",>84 Sxkurablossom:  Im decent
Sxkurablossom,"Aug 23, 2022, 4:46 pm ","are ""things"" getting better at least...?"
_luh_Baddie_bae,"Aug 23, 2022, 4:48 pm ",">86 Sxkurablossom:  Eh- Kind of. Im still having problems with ""you know what"" but other than that its been getting better. Im in a volleyball team and I made the team. We won our game on Saturday."
Sxkurablossom,"Aug 23, 2022, 4:50 pm ","Congrats on your win  and sorry about the ""problems""..."
Sxkurablossom,"Edited: Aug 24, 2022, 8:40 am ",btw if you see shoyo hinata say hi to me lmao (trying to cheer up failing miserably)
_luh_Baddie_bae,"Aug 23, 2022, 6:24 pm ",>89 Sxkurablossom:  Thanks.
Gracie_Freeman,"Aug 23, 2022, 7:24 pm ","baddie do you play any other sports? i play basketball and swim currently and i used to play baseball,tennis,soccer and i lil bit of football"
_luh_Baddie_bae,"Aug 23, 2022, 7:30 pm ",">91 Gracie_Freeman:  I play Volleyball, Cross country, Basketball, and Soccer. I also sing and play the piano."
Gracie_Freeman,"Aug 23, 2022, 9:06 pm ",i play a trumpet
_luh_Baddie_bae,"Aug 23, 2022, 10:17 pm ",>93 Gracie_Freeman:  I also play the flute lol
Gracie_Freeman,"Aug 23, 2022, 10:59 pm ",>94 _luh_Baddie_bae:  thats cool i pmd you
Araysh,"Aug 24, 2022, 10:45 am ",I used to play the clarinet... my mom pulled me out b/c my grades and behavior...🥲
_luh_Baddie_bae,"Aug 24, 2022, 10:55 am ",>96 Araysh:  i got pulled out bc I was being bulled IMAOOO
Araysh,"Aug 24, 2022, 11:05 am ",LMAO!
Araysh,"Aug 24, 2022, 11:22 am ",Not all girls are made of sugar and spice and all things nice. Some are made of witchcraft and wolf and a little bit of vice. - Nikita Gill My fav quote
Sxkurablossom,"Edited: Aug 24, 2022, 11:44 am ",someone wanted to dissect my precious hedgehog irl :( FOR WITCHCRAFT that was not okay...
Sxkurablossom,"Aug 24, 2022, 11:43 am ",we arent friends anymore...
Araysh,"Aug 24, 2022, 1:03 pm ","XD... dang, sorry but that is funny"
Araysh,"Aug 24, 2022, 2:35 pm ",I'M BORED!!!!!!!!!!!!!!!!!!!!!!!😭😭😭😭😭😭😭
Sxkurablossom,"Aug 24, 2022, 2:47 pm ",arent we alllllll
Sxkurablossom,"Edited: Aug 24, 2022, 4:41 pm ",>102 Araysh:  but all my hedgehog did was sniff the air like nothing to worry about but hes too cute to be mad at lmao he even fell back asleep (they are nocturnal if you didn't know-)
Gracie_Freeman,"Aug 24, 2022, 4:23 pm ",>99 Araysh:  fsfs
_luh_Baddie_bae,"Aug 25, 2022, 9:38 am ",>105 Sxkurablossom:  GUYS I HAVE COVIDDDDDDDD :(
Sxkurablossom,"Aug 25, 2022, 9:47 am ",Are you okay!?!
Araysh,"Aug 25, 2022, 10:41 am ",NOOOOO!!... haha i never had covid before :}
Gracie_Freeman,"Aug 25, 2022, 11:18 am ",damn sorry baddie.
Sxkurablossom,"Edited: Aug 25, 2022, 11:57 am ",>109 Araysh:  me neither... I dont think so at least
Araysh,"Aug 25, 2022, 1:18 pm ",lol. How do you not know?
Sxkurablossom,"Aug 25, 2022, 1:45 pm ",I had gotten all the symptoms and was really sick before covid was a big thing so we dont really know if it was covid or not lol
Gracie_Freeman,"Aug 26, 2022, 9:23 am ",sorry
Sxkurablossom,"Edited: Aug 26, 2022, 4:43 pm ",its fine lol and why are you saying sorry it wasnt a big big deal-
Gracie_Freeman,"Aug 26, 2022, 10:55 am ",for your covid
Araysh,"Aug 26, 2022, 1:24 pm ",... :/
Gracie_Freeman,"Aug 26, 2022, 2:11 pm ",wha
Gracie_Freeman,"Aug 27, 2022, 7:35 pm ",heyy
_luh_Baddie_bae,"Aug 29, 2022, 12:45 pm ",Omg- Im back-
Gracie_Freeman,"Aug 29, 2022, 1:08 pm ",nice
Gracie_Freeman,"Aug 29, 2022, 1:21 pm ",is araysh on rn?
Sxkurablossom,"Aug 29, 2022, 1:50 pm ",>120 _luh_Baddie_bae:  hiiiiiiii
Sxkurablossom,"Edited: Aug 29, 2022, 1:54 pm ",This message has been deleted by its author.
Gracie_Freeman,"Aug 29, 2022, 2:00 pm ",oh lord
_luh_Baddie_bae,"Aug 29, 2022, 4:09 pm ",">123 Sxkurablossom:  HIIII omg Im still sick and feel crapy, but i feel a little better :)"
Sxkurablossom,"Aug 30, 2022, 8:03 am ",>126 _luh_Baddie_bae:  im so glad your feeling better! I missed you :(
Gracie_Freeman,"Aug 30, 2022, 10:47 am ",aweee
_luh_Baddie_bae,"Edited: Aug 30, 2022, 11:29 am ",>127 Sxkurablossom:  Awwwww I missed you tooo💞
Gracie_Freeman,"Aug 30, 2022, 12:50 pm ",sweet
Araysh,"Aug 30, 2022, 1:40 pm ",Heyo
_luh_Baddie_bae,"Aug 30, 2022, 1:44 pm ",Haiiii
Gracie_Freeman,"Aug 30, 2022, 5:39 pm ",>131 Araysh:  mine
_luh_Baddie_bae,"Aug 30, 2022, 5:41 pm ",>133 Gracie_Freeman:  What happend with you and A?
_luh_Baddie_bae,"Aug 30, 2022, 5:45 pm ",>133 Gracie_Freeman:  Ello???
Gracie_Freeman,"Aug 30, 2022, 6:14 pm ",check your pm
_luh_Baddie_bae,"Aug 30, 2022, 6:14 pm ",>136 Gracie_Freeman:  Kk but I cant chat bc I used all my chat stuff
_luh_Baddie_bae,"Aug 30, 2022, 6:34 pm ",>136 Gracie_Freeman:  oooooo ur in loveeeeeee
Gracie_Freeman,"Aug 30, 2022, 7:21 pm ",nooooooo -//////////- shes so sweet tho
_luh_Baddie_bae,"Aug 30, 2022, 7:25 pm ",>139 Gracie_Freeman:  I wish I had what you had lol I wish I was with someone
Gracie_Freeman,"Aug 30, 2022, 7:40 pm ",">140 _luh_Baddie_bae:  youll someone,but keep in remind to look for loyalty and trust and a good personality,cause if you dont have trust whats the point of the relationship"
_luh_Baddie_bae,"Edited: Aug 30, 2022, 7:46 pm ",">141 Gracie_Freeman:  true, but yes I will look for that stuff"
Gracie_Freeman,"Aug 30, 2022, 7:55 pm ",you got zoom or is it unblocked
_luh_Baddie_bae,"Aug 30, 2022, 7:56 pm ",ZOOM IS BLOCKED LMAOOOO
Gracie_Freeman,"Aug 30, 2022, 8:11 pm ",wow lmao
Gracie_Freeman,"Aug 30, 2022, 8:11 pm ",try live storm
Gracie_Freeman,"Aug 30, 2022, 8:11 pm ",if it works ill send you a link
Gracie_Freeman,"Aug 31, 2022, 11:43 pm ",bro whys it so dead.....i miss araysh
_luh_Baddie_bae,"Sep 1, 2022, 12:10 am ",BRO IM BACKKKKK AYOOOOOOOOOOO
Gracie_Freeman,"Sep 1, 2022, 12:28 am ",>149 _luh_Baddie_bae:  for the first time in forever
_luh_Baddie_bae,"Sep 1, 2022, 12:11 pm ",>150 Gracie_Freeman:  LMAOOOO
Gracie_Freeman,"Sep 1, 2022, 3:29 pm ",>151 _luh_Baddie_bae:  bro im in ISS for fighting a girl at fresh the manager called my school after i whooped her a
_luh_Baddie_bae,"Sep 1, 2022, 3:31 pm ",>152 Gracie_Freeman:  OOOP-
Sxkurablossom,"Edited: Sep 1, 2022, 6:18 pm ",>152 Gracie_Freeman:  okay so 2 things 1. Was it worth it?  and  2. please tell me got a video
_luh_Baddie_bae,"Sep 1, 2022, 6:45 pm ",LMAOOOO
Sxkurablossom,"Sep 1, 2022, 7:11 pm ",😂 😂 😂
Gracie_Freeman,"Sep 1, 2022, 8:37 pm ",>154 Sxkurablossom:  yes it was worth it the b--- spread a rumor i was preg i raised up my shirt and said does it look like i am (friend got had) i find it wierd. and it was also worth it bc she aint gonna talk bout my family like that with he dobby eyes from harrypotter and 2 my friend videoed it
Sxkurablossom,"Sep 1, 2022, 10:08 pm ",>157 Gracie_Freeman:  good job lmao!!!
Gracie_Freeman,"Sep 1, 2022, 11:11 pm ",">158 Sxkurablossom:  thx man,how you feeling"
_luh_Baddie_bae,"Sep 1, 2022, 11:45 pm ","Omg guys I went to a party and we did a photo shoot! I also made a song called ""Call Me When You Need Me"" and I took a pic for my ALBUM ITS SOO good ima post it on insta tomorrow!"
Gracie_Freeman,"Sep 2, 2022, 8:18 pm ",ohhk
Gracie_Freeman,"Sep 2, 2022, 8:18 pm ",and congrats
_luh_Baddie_bae,"Sep 2, 2022, 8:35 pm ",>162 Gracie_Freeman:  TY! :)
Gracie_Freeman,"Sep 2, 2022, 8:48 pm ",np! hey you should see if livestorm on your computer is unblocked
_luh_Baddie_bae,"Sep 2, 2022, 8:50 pm ",>164 Gracie_Freeman:  alr
_luh_Baddie_bae,"Sep 2, 2022, 8:51 pm ",>164 Gracie_Freeman:  Its not blocked LMAOO YASSS
_luh_Baddie_bae,"Sep 2, 2022, 8:53 pm ",What do I put for company?-
Gracie_Freeman,"Sep 2, 2022, 9:01 pm ",idk just put your school
_luh_Baddie_bae,"Sep 2, 2022, 9:22 pm ",>168 Gracie_Freeman:  kk
Gracie_Freeman,"Sep 2, 2022, 10:39 pm ",we can literally ft there just send me the link here
Araysh,"Sep 9, 2022, 11:01 am ",Hey! just wanted to say sorry i can't talk alot b/c of my dumb strict school...-_-
Deamon53,"Sep 9, 2022, 11:20 am ",wat is livestorm
Araysh,"Sep 9, 2022, 12:17 pm ",No clue... wait who is u?
Sxkurablossom,"Sep 9, 2022, 1:32 pm ",oop-
_luh_Baddie_bae,"Sep 9, 2022, 2:57 pm ",>172 Deamon53:  Its a chat app we use to ft on our computers
_luh_Baddie_bae,"Sep 9, 2022, 2:57 pm ",>173 Araysh:  He's new
_luh_Baddie_bae,"Sep 9, 2022, 2:57 pm ",>174 Sxkurablossom:  Lmao
_luh_Baddie_bae,"Sep 9, 2022, 2:57 pm ",>171 Araysh:  Bro I feel u my school is strict too-
Araysh,"Sep 15, 2022, 1:05 pm ",lol
Gracie_Freeman,"Sep 19, 2022, 3:47 pm ","araysh i miss youuuu, also go to our private gc"
_luh_Baddie_bae,"Sep 21, 2022, 1:42 pm ",RAWR
_luh_Baddie_bae,"Sep 21, 2022, 4:14 pm ",Whatcha guys doin?
farun,"Sep 21, 2022, 5:09 pm ",>182 _luh_Baddie_bae:  hey I'm able to talk in other chats so its not a full ban
_luh_Baddie_bae,"Sep 21, 2022, 5:12 pm ",>183 farun:  omg YAY
_luh_Baddie_bae,"Sep 21, 2022, 5:12 pm ",>183 farun:  I cant believe aspirit banned u thats so stupid literally it was just a meme
_luh_Baddie_bae,"Sep 21, 2022, 5:21 pm ",>183 farun:  how r u
Sxkurablossom,"Edited: Sep 21, 2022, 5:24 pm ",wanna zoom luhbaddiebae and farun?
Sxkurablossom,"Sep 21, 2022, 5:26 pm ",is that a no TvT
farun,"Sep 21, 2022, 5:30 pm ",>187 Sxkurablossom:  sure ig
farun,"Sep 21, 2022, 5:31 pm ",ill send da link
Sxkurablossom,"Sep 21, 2022, 5:31 pm ",mkk
Sxkurablossom,"Sep 21, 2022, 5:32 pm ",>186 _luh_Baddie_bae:  wbu?
farun,"Sep 21, 2022, 5:33 pm ",Join Zoom Meeting https://us05web.zoom.us/j/89048209098?pwd=elU1RXczZGdjVm54NGtDWTJxL2szdz09 Meeting ID: 890 4820 9098 Passcode: 1utB12 anyones free to join
farun,"Sep 21, 2022, 5:36 pm ",yall there?
farun,"Sep 21, 2022, 5:38 pm ",damn you really gonna do me like that💀
Sxkurablossom,"Sep 21, 2022, 5:39 pm ",it was invalid
Sxkurablossom,"Sep 21, 2022, 5:41 pm ",yes im here my mom just yelled at me again though...
Sxkurablossom,"Sep 21, 2022, 5:44 pm ",r u there TvT
Sxkurablossom,"Sep 21, 2022, 5:46 pm ",alr im just gonna read some yaoi then-
Sxkurablossom,"Edited: Sep 21, 2022, 5:46 pm ",OH WAIT I CAN WATCH ANIME NVM BRB ^^
farun,"Sep 21, 2022, 5:49 pm ",>200 Sxkurablossom:  yeah im here I just wanted to do a zoom with luhbaddiebae too :(
_luh_Baddie_bae,"Sep 21, 2022, 5:49 pm ",>187 Sxkurablossom:  im still at school so maybe later
_luh_Baddie_bae,"Sep 21, 2022, 5:50 pm ",>201 farun:  am still at school farun i cant :( I will when i get home otay?
farun,"Sep 21, 2022, 5:52 pm ",>203 _luh_Baddie_bae:  alr
farun,"Sep 21, 2022, 5:52 pm ",>200 Sxkurablossom:  Did you wanna start a meeting now?
_luh_Baddie_bae,"Sep 21, 2022, 5:54 pm ",IMA RUN IN THE RAIN HEHE
farun,"Sep 21, 2022, 5:59 pm ",>206 _luh_Baddie_bae:  DANCING IN THE RAINNNN
_luh_Baddie_bae,"Sep 21, 2022, 6:06 pm ",>207 farun:  OH YE IM SO SOAKED
_luh_Baddie_bae,"Sep 21, 2022, 6:06 pm ",like it looks like i jumped in a pool
Sxkurablossom,"Sep 21, 2022, 6:07 pm ",FuN
farun,"Sep 21, 2022, 6:09 pm ",I'll start a meeting if yall are ready?
Sxkurablossom,"Sep 21, 2022, 6:10 pm ",is she?  I am
farun,"Sep 21, 2022, 6:13 pm ",>212 Sxkurablossom:   https://us05web.zoom.us/j/86172676516?pwd=SXl0WU5YUWhldWU0blZhNzA5Y1U2QT09 Meeting ID: 861 7267 6516 Passcode: 3eArg0 she can just join late if shes not here rn
farun,"Sep 21, 2022, 6:16 pm ",is the meeting open?
farun,"Sep 21, 2022, 6:29 pm ",is something wrong...?
_luh_Baddie_bae,"Sep 21, 2022, 6:43 pm ",>215 farun:  for what?
_luh_Baddie_bae,"Sep 21, 2022, 6:48 pm ",im so coldddddd
farun,"Sep 21, 2022, 6:56 pm ",>217 _luh_Baddie_bae:  I think I pissed eliese off...
_luh_Baddie_bae,"Sep 21, 2022, 6:56 pm ",>218 farun:  how?
farun,"Sep 21, 2022, 6:58 pm ",>219 _luh_Baddie_bae:  pm me and I'll tell you
_luh_Baddie_bae,"Sep 21, 2022, 6:59 pm ",>220 farun:  my pm's ran out but u can still telll me
_luh_Baddie_bae,"Sep 21, 2022, 7:01 pm ",>220 farun:  u there?
farun,"Sep 21, 2022, 7:03 pm ",>221 _luh_Baddie_bae:  so we were talking and I mentioned that I could maybe meet her at the park this week. she said that she cant skate home anymore so she can't meet. I said I am sorry but I think you are lying because she had went out with a friend yesterday and been able to go places all of the sudden. she just said that her parents found out that she did that and then she left...
farun,"Sep 21, 2022, 7:03 pm ",I apologised to her but haven't had a response
_luh_Baddie_bae,"Sep 21, 2022, 7:03 pm ",>223 farun:  oh-
farun,"Sep 21, 2022, 7:04 pm ",I mess up every goddamn relationship I have and I hate myself for it
_luh_Baddie_bae,"Sep 21, 2022, 7:04 pm ",>224 farun:  hopefully she will respond
_luh_Baddie_bae,"Sep 21, 2022, 7:04 pm ",>226 farun:  DONT HATE URSELF
farun,"Sep 21, 2022, 7:04 pm ",I am a terrible boyfriend
farun,"Sep 21, 2022, 7:06 pm ",she just means so much to me and I want to see her again so bad. every fucking time I mess it up because I am stupid
_luh_Baddie_bae,"Sep 21, 2022, 7:06 pm ",>229 farun:  NO U ARENT
_luh_Baddie_bae,"Sep 21, 2022, 7:06 pm ",>230 farun:  NO
farun,"Sep 21, 2022, 7:06 pm ",WHAT GOOD HAVE I DONE?
farun,"Sep 21, 2022, 7:07 pm ",you cant even think of anything can you?
_luh_Baddie_bae,"Sep 21, 2022, 7:13 pm ",>234 farun:  Yes I can You really care for her and you try ur best to stay with her
farun,"Sep 21, 2022, 7:15 pm ",I feel like Its just not enough. like I'm not enough and I never will be
_luh_Baddie_bae,"Sep 21, 2022, 7:16 pm ",>236 farun:  U are enough and I care for u
farun,"Sep 21, 2022, 7:18 pm ",>237 _luh_Baddie_bae:  I know you do and a lot of people do but I just can't get the feeling out of my head. as if people would not really care about me just being gone or not talking to anyone again
farun,"Sep 21, 2022, 7:18 pm ",its not easy to shake that feeling
_luh_Baddie_bae,"Sep 21, 2022, 7:21 pm ",>238 farun:  I would care if you were gone. Dont think that stuff abt urself
farun,"Sep 21, 2022, 7:22 pm ",>240 _luh_Baddie_bae:  I try
farun,"Sep 21, 2022, 7:24 pm ",I just want her to be happy. I could care less about my own happiness
_luh_Baddie_bae,"Sep 21, 2022, 7:24 pm ",>241 farun:  Well i dont want u to grow up and be sad for the rest of your life so try your best to think happy thoughts
farun,"Sep 21, 2022, 7:27 pm ",>243 _luh_Baddie_bae:  thanks I'll try
Sxkurablossom,"Sep 22, 2022, 7:56 am ",its my fault I overreacted im sorry... and dont you ever say you arent enough you are more than enough and you are so kind and nice even when your struggling you always have a gentle side around me and thats what I love about you you are my childhood best friend and my boyfriend the best one anyone can ever find... I would care if you were gone and so many other people would as well and it hurts me to even think that you thought that it pains me to see you in pain... BUT PLEASE DONT USE MY REAL NAME ON A PUBLIC CHAT TvT ily
kitpup,"Sep 22, 2022, 8:25 am ",Hey guys can I talk about my love life too cause rn it is messed up.
Deamon53,"Sep 22, 2022, 9:06 am ",gmm
kitpup,"Sep 22, 2022, 9:06 am ",gm
Deamon53,"Sep 22, 2022, 9:10 am ",love problems eh?
kitpup,"Sep 22, 2022, 9:12 am ",yep
Deamon53,"Sep 22, 2022, 9:12 am ",wat seems to be the matter?
kitpup,"Sep 22, 2022, 9:14 am ",so first are you homo?
kitpup,"Sep 22, 2022, 9:15 am ",some who hates lbgqt+
Deamon53,"Sep 22, 2022, 9:18 am ","naw, i am straight, i prefer not to be hit on by gay dudes, but im not bouta bullly someone for that, i respect peoples right to make choices like that"
Deamon53,"Sep 22, 2022, 9:23 am ",but go on
kitpup,"Sep 22, 2022, 9:30 am ",So I like a girl and rn she hates me because she thinks I am flirting with her boyfriend but really he's flirting with me and even kissed me. I told her that he had cheated on her. And she said she would break up with him for it. But then he told her that I had forced him. So now I'm mad at her boyfriend but I'm unsure what to do.
Deamon53,"Sep 22, 2022, 9:34 am ","holy crap, i found someone who got problems as bad as me XD, ummm, honestly there is not much u can do rn unless u got a hell of a silver tongue,if they datin, she definitely gonna believe him over you, id say back off for now, wait for them to break up bro, as for the anger u gotta let it go, its annoyin bein lied abt, but u cant prove that he's lying"
kitpup,"Sep 22, 2022, 9:37 am ",okay thanks.
Deamon53,"Sep 22, 2022, 9:38 am ","np, lemme know wat happens tho"
kitpup,"Sep 22, 2022, 9:40 am ",i will
Deamon53,"Sep 22, 2022, 9:41 am ",other than that how yall doin
kitpup,"Sep 22, 2022, 9:42 am ","good, im in my school. oh this morning my crush gave me a death stare sooo."
Sxkurablossom,"Sep 22, 2022, 9:44 am ",0-0
Deamon53,"Sep 22, 2022, 9:46 am ","oop, yeah u might gotta get her sum chocolate an apologize"
Sxkurablossom,"Sep 22, 2022, 9:47 am ",You guys think that would work in that situation-
kitpup,"Sep 22, 2022, 9:47 am ",oh hey
kitpup,"Sep 22, 2022, 9:48 am ",I should get her chocolate she loves it.
Sxkurablossom,"Edited: Sep 22, 2022, 9:57 am ",This message has been deleted by its author.
kitpup,"Sep 22, 2022, 9:49 am ",She knows i like her.
farun,"Sep 22, 2022, 9:50 am ",just apologize. its the best thing you can do. if they don't accept your apology then at least you know you tried to make it up for them
kitpup,"Sep 22, 2022, 9:51 am ",true
Sxkurablossom,"Sep 22, 2022, 9:52 am ",>269 kitpup:  then what about you make her a card or smth because it shows how much effort you put into it and shows that you did this cause you care?
_luh_Baddie_bae,"Sep 22, 2022, 9:53 am ",gm
Sxkurablossom,"Edited: Sep 22, 2022, 9:54 am ",( ͡° ͜ʖ ͡°)
Gracie_Freeman,"Sep 22, 2022, 9:54 am ",>226 farun:  farun dont. shes going through things just like i do. you dont mess up relationship.dont put yourself down
_luh_Baddie_bae,"Sep 22, 2022, 9:55 am ",>274 Sxkurablossom:  hewo
Deamon53,"Sep 22, 2022, 9:56 am ","yeah, i didnt actually mean apoligize, i was joking bout that"
Sxkurablossom,"Sep 22, 2022, 9:56 am ",">275 Gracie_Freeman:  its fine we already made up I just left before I said something I would regret and would hurt him more cause I was already pissed at ""things""..."
Gracie_Freeman,"Sep 22, 2022, 9:56 am ",>245 Sxkurablossom:  thats so sweettttt
Sxkurablossom,"Sep 22, 2022, 9:56 am ",>276 _luh_Baddie_bae:  >:3 hru
Sxkurablossom,"Sep 22, 2022, 9:57 am ",>279 Gracie_Freeman:  -///////-
kitpup,"Sep 22, 2022, 9:59 am ",Im confused 0.0 But still idk if i should give her chocolate or a card.
Sxkurablossom,"Edited: Sep 22, 2022, 10:00 am ",>282 kitpup:  both ig lmao ;-; sweet or emotional? or both
Gracie_Freeman,"Sep 22, 2022, 10:00 am ","Bro wtf i just realized this basically turned into a relationship advice and crap yall might aswell make a gc for relationships me and araysh have had this for a while its always been anime and regular talk so its pretty unusual to see the topic change so quickly,but i hope yalls relationship problems sort out"
_luh_Baddie_bae,"Sep 22, 2022, 10:00 am ",>280 Sxkurablossom:  Im good
_luh_Baddie_bae,"Sep 22, 2022, 10:00 am ",>282 kitpup:  chocolate
kitpup,"Sep 22, 2022, 10:01 am ",okay
Gracie_Freeman,"Sep 22, 2022, 10:01 am ",bro drystol needs to come back and so does araysh
kitpup,"Sep 22, 2022, 10:02 am ",people I don't know
Sxkurablossom,"Sep 22, 2022, 10:03 am ",>288 Gracie_Freeman:  fr
